Date,CPIAUCNS
2003-03-31,183.0
2003-06-30,183.66666666666666
2003-09-30,184.5666666666667
2003-12-31,184.6
2004-03-31,186.26666666666665
2004-06-30,188.9333333333333
2004-09-30,189.6
2004-12-31,190.73333333333335
2005-03-31,191.9333333333333
2005-06-30,194.5
2005-09-30,196.86666666666667
2005-12-31,197.86666666666667
2006-03-31,198.9333333333333
2006-06-30,202.29999999999998
2006-09-30,203.4333333333333
2006-12-31,201.70000000000002
2007-03-31,203.75566666666668
2007-06-30,207.66233333333335
2007-09-30,208.23533333333333
2007-12-31,209.71633333333332
2008-03-31,212.10033333333334
2008-06-30,216.75666666666666
2008-09-30,219.27766666666665
2008-12-31,213.07533333333333
2009-03-31,212.01500000000001
2009-06-30,214.263
2009-09-30,215.718
2009-12-31,216.15200000000002
2010-03-31,217.01966666666667
2010-06-30,218.05066666666667
2010-09-30,218.254
2010-12-31,218.89766666666665
2011-03-31,221.66633333333334
2011-06-30,225.53066666666666
2011-09-30,226.452
2011-12-31,226.10766666666666
2012-03-31,227.90666666666667
2012-06-30,229.7926666666667
2012-09-30,230.29666666666665
2012-12-31,230.37966666666668
2013-03-31,231.7396666666667
2013-06-30,232.99333333333334
2013-09-30,233.87400000000002
2013-12-31,233.22133333333332
2014-03-31,234.99666666666667
2014-06-30,237.77166666666668
2014-09-30,238.04433333333336
2014-12-31,236.13199999999998
2015-03-31,234.84933333333333
2015-06-30,237.68066666666667
2015-09-30,238.30499999999998
2015-12-31,237.23300000000003
2016-03-31,237.38633333333334
2016-06-30,240.16933333333336
2016-09-30,240.96833333333333
2016-12-31,241.50466666666668
2017-03-31,243.4143333333333
2017-06-30,244.73733333333334
2017-09-30,245.708
2017-12-31,246.61866666666666
2018-03-31,248.804
2018-06-30,251.37433333333334
2018-09-30,252.197
2018-12-31,252.052
2019-03-31,252.89666666666668
2019-06-30,255.92766666666662
2019-09-30,256.62933333333336
2019-12-31,257.176
2020-03-31,258.25466666666665
2020-06-30,256.86
2020-09-30,259.7663333333333
2020-12-31,260.36366666666663
2021-03-31,263.15766666666667
2021-06-30,269.315
2021-09-30,273.62666666666667
2021-12-31,277.7796666666666
2022-03-31,284.1226666666667
