Date,USSTHPI
2003-04-01,283.2
2003-07-01,287.57
2003-10-01,295.71
2004-01-01,300.36
2004-04-01,307.69
2004-07-01,319.4
2004-10-01,326.24
2005-01-01,333.72
2005-04-01,344.41
2005-07-01,354.89
2005-10-01,362.92
2006-01-01,368.67
2006-04-01,372.45
2006-07-01,375.51
2006-10-01,379.35
2007-01-01,380.76
2007-04-01,380.51
2007-07-01,376.26
2007-10-01,375.04
2008-01-01,372.29
2008-04-01,362.9
2008-07-01,351.46
2008-10-01,348.22
2009-01-01,350.8
2009-04-01,341.6
2009-07-01,332.69
2009-10-01,330.16
2010-01-01,326.22
2010-04-01,323.25
2010-07-01,326.4
2010-10-01,324.08
2011-01-01,315.08
2011-04-01,309.54
2011-07-01,311.85
2011-10-01,313.28
2012-01-01,310.0
2012-04-01,308.58
2012-07-01,312.7
2012-10-01,315.15
2013-01-01,316.72
2013-04-01,321.55
2013-07-01,326.16
2013-10-01,328.76
2014-01-01,331.47
2014-04-01,337.89
2014-07-01,342.79
2014-10-01,345.57
2015-01-01,349.36
2015-04-01,355.03
2015-07-01,360.06
2015-10-01,362.97
2016-01-01,366.32
2016-04-01,373.17
2016-07-01,379.82
2016-10-01,382.78
2017-01-01,385.54
2017-04-01,394.18
2017-07-01,400.24
2017-10-01,403.57
2018-01-01,409.25
2018-04-01,416.78
2018-07-01,421.87
2018-10-01,423.32
2019-01-01,428.05
2019-04-01,435.18
2019-07-01,440.74
2019-10-01,444.65
2020-01-01,449.81
2020-04-01,454.31
2020-07-01,462.27
2020-10-01,472.44
2021-01-01,483.83
2021-04-01,510.74
2021-07-01,539.21
2021-10-01,557.78
2022-01-01,578.27
2022-04-01,616.79
