Date,UNRATE
2003-03-31,5.866666666666667
2003-06-30,6.133333333333333
2003-09-30,6.133333333333333
2003-12-31,5.833333333333333
2004-03-31,5.7
2004-06-30,5.599999999999999
2004-09-30,5.433333333333334
2004-12-31,5.433333333333334
2005-03-31,5.3
2005-06-30,5.1000000000000005
2005-09-30,4.966666666666667
2005-12-31,4.966666666666667
2006-03-31,4.733333333333333
2006-06-30,4.633333333333333
2006-09-30,4.633333333333334
2006-12-31,4.433333333333334
2007-03-31,4.5
2007-06-30,4.5
2007-09-30,4.666666666666667
2007-12-31,4.8
2008-03-31,5.0
2008-06-30,5.333333333333333
2008-09-30,6.0
2008-12-31,6.866666666666667
2009-03-31,8.266666666666667
2009-06-30,9.299999999999999
2009-09-30,9.633333333333333
2009-12-31,9.933333333333334
2010-03-31,9.833333333333334
2010-06-30,9.633333333333333
2010-09-30,9.466666666666667
2010-12-31,9.5
2011-03-31,9.033333333333333
2011-06-30,9.066666666666666
2011-09-30,9.0
2011-12-31,8.633333333333333
2012-03-31,8.266666666666667
2012-06-30,8.2
2012-09-30,8.033333333333333
2012-12-31,7.8
2013-03-31,7.733333333333333
2013-06-30,7.533333333333334
2013-09-30,7.233333333333333
2013-12-31,6.933333333333334
2014-03-31,6.666666666666667
2014-06-30,6.2
2014-09-30,6.066666666666666
2014-12-31,5.7
2015-03-31,5.533333333333334
2015-06-30,5.433333333333334
2015-09-30,5.1000000000000005
2015-12-31,5.033333333333333
2016-03-31,4.8999999999999995
2016-06-30,4.933333333333334
2016-09-30,4.8999999999999995
2016-12-31,4.766666666666667
2017-03-31,4.566666666666666
2017-06-30,4.366666666666667
2017-09-30,4.333333333333333
2017-12-31,4.166666666666667
2018-03-31,4.033333333333333
2018-06-30,3.9333333333333336
2018-09-30,3.766666666666667
2018-12-31,3.8333333333333335
2019-03-31,3.8666666666666667
2019-06-30,3.6333333333333333
2019-09-30,3.6
2019-12-31,3.6
2020-03-31,3.8333333333333335
2020-06-30,13.0
2020-09-30,8.799999999999999
2020-12-31,6.733333333333333
2021-03-31,6.233333333333333
2021-06-30,5.933333333333334
2021-09-30,5.066666666666666
2021-12-31,4.166666666666667
2022-03-31,3.8000000000000003
